objectid,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,geoid10v2,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,hood,hood_no,acres,sqmiles,sectors,tract,cdbg2014,tracttext,objectid_1,tractce10_1,cnt_tractce10,sum_lowmod2018,sum_lowmoduniv,lowmodperct,lowmodpercanno,cdbg2018,Shape__Area,Shape__Length
1,42,3,40500,1,420030405001,42003040500,Block Group 1,G5030,S,268195,0,40.4406805,-79.9542332,Central Oakland,20,180.883,0.281,14,405,Yes,405,7,40500,2,2775,2985,92.96482412,92.96,Yes,5079491.995,10442.03645
2,42,3,40400,1,420030404001,42003040400,Block Group 1,G5030,S,75472,0,40.4458408,-79.9483932,North Oakland,56,320.679,0.499,14,404,Yes,404,6,40400,2,1365,2020,67.57425743,67.57,Yes,2105489.361,6609.688123
3,42,3,40200,2,420030402002,42003040200,Block Group 2,G5030,S,282679,0,40.4412437,-79.9626107,West Oakland,88,138.372,0.215,14,402,Yes,402,5,40200,2,1070,1290,82.94573643,82.94,Yes,5998648.885,18280.48408
4,42,3,30500,2,420030305002,42003030500,Block Group 2,G5030,S,284548,0,40.4403871,-79.9813476,Crawford-Roberts,24,166.101,0.258,15,305,Yes,305,4,30500,2,1635,2130,76.76056338,76.76,Yes,7203631.273,15694.77144
5,42,3,980000,1,420039800001,42003980000,Block Group 1,G5030,S,637235,237268,40.487579,-79.8907469,Lincoln-Lemington-Belmar,47,180.105,0.28,11,9800,No,9800,125,980000,1,65,220,29.54545455,29.54,No,7764865.671,13581.87509
6,42,3,20300,1,420030203001,42003020300,Block Group 1,G5030,S,1593129,329216,40.4544996,-79.9812762,Strip District,80,390.864,0.608,13,203,No,203,3,20300,1,110,730,15.06849315,15.06,No,16948752.79,24019.53267
7,42,3,20100,4,420030201004,42003020100,Block Group 4,G5030,S,281715,0,40.4406777,-79.9892121,Central Business District,17,411.593,0.64,16,201,No,201,2,20100,6,1125,2875,39.13043478,39.13,No,17845910.19,23034.92906
8,42,3,262000,1,420032620001,42003262000,Block Group 1,G5030,S,607576,0,40.4632158,-79.994168,Spring Hill-City View,75,404.765,0.63,1,2620,Yes,2620,93,262000,3,1665,2360,70.55084746,70.55,Yes,17543400.4,18197.70607
9,42,3,261500,1,420032615001,42003261500,Block Group 1,G5030,S,350522,0,40.4733966,-80.0097343,Perry South,62,581.656,0.905,2,2615,Yes,2615,92,261500,2,1055,1485,71.04377104,71.04,Yes,12171522.23,20804.7854
10,42,3,261400,2,420032614002,42003261400,Block Group 2,G5030,S,353594,0,40.4619992,-80.0134962,Perry South,62,581.656,0.905,2,2614,Yes,2614,91,261400,4,1500,1780,84.26966292,84.26,Yes,13045221.51,17955.71198
11,42,3,261200,1,420032612001,42003261200,Block Group 1,G5030,S,1057787,0,40.4922173,-80.0081121,Summer Hill,81,282.104,0.439,1,2612,No,2612,90,261200,1,385,1190,32.35294118,32.35,No,12232534.02,20906.82941
12,42,3,260900,1,420032609001,42003260900,Block Group 1,G5030,S,812036,0,40.4776383,-80.0025945,Northview Heights,58,201.558,0.313,1,2609,Yes,2609,89,260900,1,1490,1545,96.44012945,96.44,Yes,8727371.216,13757.33195
13,42,3,260700,2,420032607002,42003260700,Block Group 2,G5030,S,301991,0,40.4818975,-80.01087,Perry North,61,779.088,1.212,2,2607,Yes,2607,88,260700,2,685,1730,39.59537572,39.59,No,7230346.359,17023.91618
14,42,3,563100,2,420035631002,42003563100,Block Group 2,G5030,S,880129,0,40.43201,-80.0530374,Westwood,89,445.009,0.692,4,5631,No,5631,123,563100,3,1720,3855,44.61738003,44.61,No,29487865.52,32824.11552
15,42,3,562400,5,420035624005,42003562400,Block Group 5,G5030,S,138709,0,40.419736,-79.9991617,Beltzhoover,9,270.374,0.421,6,5624,No,5624,116,562400,5,1700,2620,64.88549618,64.88,Yes,20475606.61,20441.66704
16,42,3,981000,1,420039810001,42003981000,Block Group 1,G5030,S,1377043,0,40.4730821,-79.9488759,Central Lawrenceville,18,619.199,0.963,13,9810,No,9810,134,981000,1,0,0,0,0,No,14947687.32,20578.37522
17,42,3,170200,1,420031702001,42003170200,Block Group 1,G5030,S,406640,81747,40.4302576,-79.9922422,South Side Flats,72,601.553,0.936,7,1702,No,1702,65,170200,4,1700,2965,57.33558179,57.33,Yes,12045371.45,17671.09402
18,42,3,180300,3,420031803003,42003180300,Block Group 3,G5030,S,140530,0,40.4191918,-79.9927314,Allentown,3,189.608,0.295,6,1803,Yes,1803,67,180300,3,1880,2525,74.45544554,74.45,Yes,8221046.104,16208.01488
19,42,3,170600,1,420031706001,42003170600,Block Group 1,G5030,S,326725,0,40.4249025,-79.9876098,South Side Slopes,73,460.632,0.716,7,1706,Yes,1706,66,170600,3,1020,1750,58.28571429,58.28,Yes,8789704.432,22377.19641
20,42,3,10300,2,420030103002,42003010300,Block Group 2,G5030,S,267511,0,40.4369004,-79.9903987,Bluff,11,210.51,0.327,15,103,Yes,103,1,10300,4,300,465,64.51612903,64.51,Yes,9127091.448,15724.3898
21,42,3,260200,3,420032602003,42003260200,Block Group 3,G5030,S,252788,7193,40.492508,-80.0177905,Perry North,61,779.088,1.212,2,2602,No,2602,87,260200,3,1015,1965,51.65394402,51.65,Yes,14586018.83,30826.78573
22,42,3,180700,2,420031807002,42003180700,Block Group 2,G5030,S,128061,0,40.4247086,-80.0011285,Mount Washington,54,732.495,1.139,6,1807,No,1807,68,180700,3,1510,2235,67.56152125,67.56,Yes,4248796.352,8943.067834
23,42,3,250900,2,420032509002,42003250900,Block Group 2,G5030,S,384629,0,40.464157,-80.0039415,Fineview,33,160.488,0.25,3,2509,Yes,2509,86,250900,2,740,1270,58.26771654,58.26,Yes,6962398.591,12621.96851
24,42,3,562900,1,420035629001,42003562900,Block Group 1,G5030,S,1385581,586785,40.4096285,-79.9486102,Hazelwood,39,1017.805,1.583,9,5629,Yes,5629,121,562900,3,980,1700,57.64705882,57.64,Yes,72175081.72,92710.50118
25,42,3,561900,2,420035619002,42003561900,Block Group 2,G5030,S,652899,0,40.4670321,-79.8924785,Lincoln-Lemington-Belmar,47,984.873,1.532,11,5619,Yes,5619,113,561900,2,1590,2370,67.08860759,67.08,Yes,13464637.38,20789.00201
26,42,3,130600,1,420031306001,42003130600,Block Group 1,G5030,S,365630,0,40.4521925,-79.8817225,East Hills,28,348.077,0.541,11,1306,Yes,1306,49,130600,3,2105,2860,73.6013986,73.6,Yes,15079351.58,22185.53881
27,42,3,40900,3,420030409003,42003040900,Block Group 3,G5030,S,253498,0,40.4308074,-79.9518013,South Oakland,70,326.793,0.508,14,409,Yes,409,9,40900,3,2140,2830,75.61837456,75.61,Yes,9955922.425,18071.68807
28,42,3,562300,5,420035623005,42003562300,Block Group 5,G5030,S,394540,0,40.4142957,-79.9369121,Hazelwood,39,1017.805,1.583,9,5623,Yes,5623,115,562300,6,2390,3435,69.57787482,69.57,Yes,33451749.66,25861.11233
29,42,3,151700,4,420031517004,42003151700,Block Group 4,G5030,S,157178,0,40.4216327,-79.9353993,Greenfield,37,497.028,0.773,9,1517,No,1517,62,151700,6,1980,5065,39.09180652,39.09,No,12762487.07,16076.30688
30,42,3,151600,3,420031516003,42003151600,Block Group 3,G5030,S,132031,0,40.4227661,-79.9448461,Greenfield,37,497.028,0.773,9,1516,No,1516,61,151600,3,810,2620,30.91603053,30.91,No,8784063.349,14805.8235
31,42,3,141400,3,420031414003,42003141400,Block Group 3,G5030,S,294702,0,40.4266034,-79.9185733,Squirrel Hill South,77,1717.485,2.671,10,1414,No,1414,60,141400,5,1900,5770,32.92894281,32.92,No,21720648.58,24542.50674
32,42,3,141300,3,420031413003,42003141300,Block Group 3,G5030,S,202656,0,40.4320453,-79.9253363,Squirrel Hill South,77,1717.485,2.671,10,1413,No,1413,59,141300,3,2465,5045,48.86025768,48.86,No,9665536.966,15890.59932
33,42,3,250300,1,420032503001,42003250300,Block Group 1,G5030,S,243738,0,40.4584905,-80.0120067,Central Northside,19,166.475,0.259,3,2503,No,2503,84,250300,1,835,1375,60.72727273,60.72,Yes,2623346.379,7703.44619
34,42,3,241200,2,420032412002,42003241200,Block Group 2,G5030,S,172183,0,40.4600565,-79.9915198,Spring Garden,74,176.506,0.275,1,2412,Yes,2412,83,241200,2,515,840,61.30952381,61.3,Yes,7656047.406,21430.36806
35,42,3,562000,2,420035620002,42003562000,Block Group 2,G5030,S,269504,0,40.4552789,-79.9531593,North Oakland,56,320.679,0.499,14,5620,Yes,5620,114,562000,3,2170,2865,75.7417103,75.74,Yes,6333196.122,15320.90126
36,42,3,80900,2,420030809002,42003080900,Block Group 2,G5030,S,158489,0,40.464524,-79.942963,Bloomfield,10,451.405,0.702,12,809,Yes,809,26,80900,2,895,1635,54.74006116,54.74,Yes,4092373.574,11960.20319
37,42,3,240600,2,420032406002,42003240600,Block Group 2,G5030,S,495750,0,40.4611811,-79.9859947,Troy Hill,84,247.17,0.384,1,2406,Yes,2406,82,240600,3,1845,3515,52.48933144,52.48,Yes,12828150.18,29583.62067
38,42,3,220600,2,420032206002,42003220600,Block Group 2,G5030,S,166959,0,40.4572412,-80.0051339,Central Northside,19,166.475,0.259,3,2206,No,2206,81,220600,2,690,1445,47.75086505,47.75,No,4596214.023,12485.64577
39,42,3,981800,1,420039818001,42003981800,Block Group 1,G5030,S,1652680,310067,40.4790228,-79.8942288,Lincoln-Lemington-Belmar,47,984.873,1.532,11,9818,No,9818,137,981800,1,20,20,100,100,Yes,17601350.56,24294.72665
40,42,3,80200,2,420030802002,42003080200,Block Group 2,G5030,S,92307,0,40.4617308,-79.9522528,Bloomfield,10,451.405,0.702,12,802,Yes,802,22,80200,2,945,1710,55.26315789,55.26,Yes,3719262.221,7816.210131
41,42,3,160800,1,420031608001,42003160800,Block Group 1,G5030,S,122567,0,40.4229739,-79.970767,South Side Slopes,73,460.632,0.716,7,1608,Yes,1608,63,160800,4,1795,2800,64.10714286,64.1,Yes,11183318.43,16043.30414
42,42,3,101800,2,420031018002,42003101800,Block Group 2,G5030,S,797007,0,40.4847864,-79.9385823,Stanton Heights,79,472.615,0.735,13,1018,No,1018,35,101800,2,950,2505,37.9241517,37.92,No,12869914.73,23658.34243
43,42,3,60300,1,420030603001,42003060300,Block Group 1,G5030,S,391220,0,40.4621267,-79.9609234,Lower Lawrenceville,48,276.392,0.43,13,603,Yes,603,15,60300,2,1620,2545,63.65422397,63.65,Yes,11984339.34,15396.2732
44,42,3,80700,2,420030807002,42003080700,Block Group 2,G5030,S,143135,0,40.4592964,-79.9351049,Friendship,34,68.297,0.106,12,807,Yes,807,25,80700,2,1090,1790,60.89385475,60.89,Yes,2960456.167,7707.157832
45,42,3,290400,3,420032904003,42003290400,Block Group 3,G5030,S,275844,0,40.384419,-79.9867635,Carrick,16,1075.67,1.673,5,2904,No,2904,103,290400,5,2085,3855,54.08560311,54.08,Yes,17267959.61,29974.92252
46,42,3,981100,1,420039811001,42003981100,Block Group 1,G5030,S,876833,0,40.4420424,-79.906331,Point Breeze,63,645.695,1.004,10,9811,No,9811,135,981100,1,0,0,0,0,No,9428733.793,14525.90163
47,42,3,190300,1,420031903001,42003190300,Block Group 1,G5030,S,502688,0,40.4348905,-80.0135312,Mount Washington,54,732.495,1.139,6,1903,No,1903,69,190300,2,735,1985,37.02770781,37.02,No,8872286.602,19012.56926
48,42,3,101600,1,420031016001,42003101600,Block Group 1,G5030,S,464605,0,40.4703739,-79.9393307,Garfield,35,294.077,0.457,12,1016,Yes,1016,33,101600,1,790,990,79.7979798,79.79,Yes,5000519.342,11149.69641
49,42,3,191100,2,420031911002,42003191100,Block Group 2,G5030,S,884630,0,40.4386014,-80.0260996,Duquesne Heights,25,400.468,0.623,6,1911,No,1911,70,191100,2,1030,2525,40.79207921,40.79,No,17361817.9,19324.72102
50,42,3,191400,1,420031914001,42003191400,Block Group 1,G5030,S,380257,0,40.4292007,-80.0064823,Mount Washington,54,732.495,1.139,6,1914,Yes,1914,71,191400,2,1470,2580,56.97674419,56.97,Yes,10148433.94,18909.3294
51,42,3,110600,2,420031106002,42003110600,Block Group 2,G5030,S,227776,0,40.4752841,-79.9162654,Highland Park,40,747.691,1.163,12,1106,No,1106,37,110600,3,905,2525,35.84158416,35.84,No,6836392.527,12680.31788
52,42,3,141100,1,420031411001,42003141100,Block Group 1,G5030,S,1226338,163168,40.4196414,-79.9075532,Swisshelm Park,82,308.575,0.48,10,1411,No,1411,58,141100,1,365,1340,27.23880597,27.23,No,13379173.99,20791.54463
53,42,3,110200,1,420031102001,42003110200,Block Group 1,G5030,S,144791,0,40.4780209,-79.9195862,Highland Park,40,747.691,1.163,12,1102,No,1102,36,110200,4,2210,4220,52.36966825,52.36,Yes,8687402.192,12482.19903
54,42,3,101700,2,420031017002,42003101700,Block Group 2,G5030,S,217979,0,40.4672423,-79.94337,Garfield,35,294.077,0.457,12,1017,Yes,1017,34,101700,2,1025,1540,66.55844156,66.55,Yes,4224444.85,9313.072225
55,42,3,210700,2,420032107002,42003210700,Block Group 2,G5030,S,359658,0,40.4578695,-80.0264589,Manchester,49,179.566,0.279,3,2107,Yes,2107,80,210700,2,1240,1935,64.08268734,64.08,Yes,7786246.772,12521.87516
56,42,3,980100,1,420039801001,42003980100,Block Group 1,G5030,S,1440881,252755,40.4798795,-79.9165548,Highland Park,40,747.691,1.163,12,9801,No,9801,126,980100,1,15,25,60,60,Yes,16896019.47,26209.25306
57,42,3,101100,3,420031011003,42003101100,Block Group 3,G5030,S,249635,0,40.4818107,-79.9477736,Upper Lawrenceville,86,260.349,0.405,13,1011,Yes,1011,31,101100,3,1870,2750,68,68,Yes,11290033.62,19198.89717
58,42,3,140600,3,420031406003,42003140600,Block Group 3,G5030,S,184852,0,40.4430458,-79.8953704,Point Breeze,63,645.695,1.004,10,1406,No,1406,55,140600,3,860,3055,28.15057283,28.15,No,9587384.436,17569.4121
59,42,3,120400,1,420031204001,42003120400,Block Group 1,G5030,S,176103,0,40.4633748,-79.9087841,Larimer,45,286.16,0.445,12,1204,Yes,1204,42,120400,2,635,720,88.19444444,88.19,Yes,4700919.762,9535.316228
60,42,3,191600,3,420031916003,42003191600,Block Group 3,G5030,S,170636,0,40.4126628,-80.0211465,Beechview,8,938.804,1.46,5,1916,Yes,1916,73,191600,5,2490,4445,56.01799775,56.01,Yes,26039002.55,25482.36365
61,42,3,191700,1,420031917001,42003191700,Block Group 1,G5030,S,1471688,0,40.4043578,-80.0109294,Brookline,14,1338.669,2.082,5,1917,No,1917,74,191700,3,1605,3670,43.73297003,43.73,No,20043023.29,22296.90051
62,42,3,101400,4,420031014004,42003101400,Block Group 4,G5030,S,149377,0,40.4799173,-79.9300799,Morningside,52,245.637,0.382,12,1014,No,1014,32,101400,4,1455,3250,44.76923077,44.76,No,10650919.57,27030.74956
63,42,3,100500,2,420031005002,42003100500,Block Group 2,G5030,S,382760,0,40.4781242,-79.9393683,Stanton Heights,79,472.615,0.735,13,1005,No,1005,30,100500,2,1220,2200,55.45454545,55.45,Yes,7623074.866,11890.47985
64,42,3,90100,2,420030901002,42003090100,Block Group 2,G5030,S,305316,115879,40.4747088,-79.9639616,Central Lawrenceville,18,619.199,0.963,13,901,Yes,901,27,90100,2,875,1785,49.01960784,49.01,No,7144795.146,11542.78028
65,42,3,90200,3,420030902003,42003090200,Block Group 3,G5030,S,72097,0,40.4664653,-79.9570743,Central Lawrenceville,18,619.199,0.963,13,902,No,902,28,90200,3,1370,2805,48.84135472,48.84,No,4755654.983,10005.36314
66,42,3,90300,2,420030903002,42003090300,Block Group 2,G5030,S,102533,0,40.4640387,-79.9556576,Bloomfield,10,451.405,0.702,12,903,Yes,903,29,90300,2,1145,1655,69.18429003,69.18,Yes,2772039.303,7663.158623
67,42,3,982200,1,420039822001,42003982200,Block Group 1,G5030,S,505672,0,40.4444879,-79.9547652,North Oakland,56,320.679,0.499,14,9822,Yes,9822,138,982200,1,55,80,68.75,68.75,Yes,5466005.882,16401.48649
